Pixel Graph X,Pixel Graph Y,Actual value X,Actual value Y
73,960,0.036900000000000155,3.735000000000001
107,936,0.9752999999999998,4.0662
144,958,1.9965000000000002,3.762600000000001
177,937,2.9073,4.0524000000000004
218,887,4.0389,4.7424
251,836,4.9497,5.446200000000001
290,765,6.0261,6.426
327,719,7.0473,7.0608
362,670,8.0133,7.737
397,645,8.9793,8.082
431,615,9.9177,8.496
467,589,10.9113,8.854800000000001
504,554,11.9325,9.337800000000001
541,565,12.9537,9.186
575,535,13.8921,9.600000000000001
608,492,14.8029,10.1934
646,423,15.8517,11.145600000000002
681,370,16.817700000000002,11.877
717,395,17.811300000000003,11.532
754,364,18.832500000000003,11.959800000000001
791,343,19.853699999999996,12.249600000000001
828,318,20.874899999999997,12.5946
869,362,22.006500000000003,11.987400000000001
903,339,22.944899999999997,12.3048
939,346,23.938499999999998,12.208200000000001
974,292,24.9045,12.9534
1013,211,25.9809,14.071200000000001
1050,208,27.0021,14.1126
1088,231,28.0509,13.795200000000001
1121,276,28.9617,13.1742
1156,293,29.9277,12.9396
1191,355,30.893700000000003,12.084
1228,341,31.914900000000003,12.2772
1261,322,32.8257,12.5394
1300,352,33.902100000000004,12.1254
1336,312,34.8957,12.6774
1375,282,35.972100000000005,13.0914
1410,281,36.9381,13.1052
1446,279,37.9317,13.1328
1484,269,38.9805,13.270800000000001
1522,255,40.0293,13.464
1554,269,40.9125,13.270800000000001
1590,281,41.9061,13.1052
1628,286,42.9549,13.036200000000001
1666,287,44.0037,13.022400000000001
1702,268,44.9973,13.284600000000001
1737,269,45.963300000000004,13.270800000000001
1770,282,46.8741,13.0914
1806,246,47.8677,13.5882
1843,243,48.8889,13.6296
1878,244,49.8549,13.6158
1921,244,51.0417,13.6158
1957,256,52.0353,13.4502
1989,257,52.9185,13.4364
2032,270,54.1053,13.257000000000001
2062,284,54.9333,13.0638
2099,283,55.9545,13.0776
2134,280,56.920500000000004,13.119
2174,307,58.0245,12.746400000000001
2209,312,58.9905,12.6774
2240,323,59.8461,12.5256
2279,293,60.9225,12.9396
2313,366,61.8609,11.932200000000002
2353,406,62.96490000000001,11.3802
2385,403,63.848099999999995,11.421600000000002
2421,391,64.84169999999999,11.587200000000001
2458,382,65.8629,11.711400000000001
2496,366,66.9117,11.932200000000002
2529,386,67.82249999999999,11.656200000000002
2567,404,68.87129999999999,11.407800000000002
2602,388,69.8373,11.6286
