x_pixel,y_pixel
377,401
410,414
459,431
520,450
593,469
678,487
769,503
869,516
973,526
1080,529
1186,527
1290,521
1387,510
1476,495
1556,480
1623,464
1676,450
1713,439
1736,432
1736,426
1727,428
1708,441
1667,454
1613,469
1545,484
1465,500
1376,514
1280,516
1177,521
1071,530
963,531
858,521
758,508
662,490
577,470
502,450
440,432
390,417
355,405
335,398
333,397
345,401
372,411
414,425
467,444
534,465
611,485
698,504
794,519
896,529
1001,535
1108,538
1213,536
1314,528
1409,515
1495,499
1569,483
1630,468
1677,455
1710,449
1726,445
1723,444
1710,451
1679,460
1633,472
1573,487
1501,504
1417,519
1325,532
1225,542
1121,545
1013,544
906,539
802,530
703,515
611,496
532,476
463,455
408,437
367,423
340,414
328,410
330,412
348,419
381,430
428,445
488,462
558,483
638,503
729,521
826,535
930,543
1034,546
1139,544
1240,540
1337,531
1425,519
1504,505
1572,490
1626,475
1666,463
1689,457
1700,455
1693,458
1673,463
1637,473
1587,487
1524,501
1448,516
1363,532
1269,543
1168,551
1063,553
959,549
856,539
757,527
664,511
581,493
507,473
445,453
398,435
364,422
345,415
323,416
346,423
373,430
412,443
465,458
530,475
604,495
688,514
780,531
879,544
982,550
1087,551
1190,546
1291,539
1384,528
1470,516
1545,501
1608,486
1657,471
1692,459
1707,457
1710,456
1698,459
1669,466
1625,477
1567,492
1497,507
1416,521
1325,534
1229,545
1127,550
1022,550
918,544
816,533
720,516
632,499
553,481
486,462
430,446
388,431
361,423
345,419
