frame_no,x_pixel,y_pixel,x_cm,y_cm,x_m,y_m
2,1726,281,84.12,29.609999999999996,0.8412000000000001,0.2961
1,1725,282,84.07,29.559999999999995,0.8406999999999999,0.2956
3,1724,282,84.02,29.559999999999995,0.8402,0.2956
4,1722,282,83.92,29.559999999999995,0.8392000000000001,0.2956
5,1719,282,83.77,29.559999999999995,0.8377,0.2956
6,1714,283,83.52,29.509999999999998,0.8351999999999999,0.2951
0,1724,284,84.02,29.459999999999994,0.8402,0.2945999999999999
7,1706,285,83.12,29.409999999999997,0.8312,0.2941
8,1697,288,82.67,29.259999999999998,0.8267,0.29259999999999997
9,1685,290,82.07,29.159999999999997,0.8207,0.29159999999999997
10,1669,294,81.27,28.959999999999994,0.8127,0.2895999999999999
11,1651,299,80.37,28.709999999999994,0.8037000000000001,0.2870999999999999
12,1630,306,79.32,28.359999999999996,0.7931999999999999,0.28359999999999996
13,1605,312,78.07,28.059999999999995,0.7807,0.28059999999999996
14,1578,319,76.72,27.709999999999994,0.7672,0.27709999999999996
15,1548,328,75.22,27.259999999999994,0.7522,0.27259999999999995
16,1514,337,73.52,26.809999999999995,0.7352,0.26809999999999995
17,1477,348,71.67,26.259999999999994,0.7167,0.26259999999999994
18,1437,359,69.67,25.709999999999997,0.6967,0.2571
19,1394,372,67.52,25.059999999999995,0.6751999999999999,0.25059999999999993
20,1348,385,65.22,24.409999999999997,0.6522,0.24409999999999996
21,1299,400,62.77,23.659999999999997,0.6277,0.23659999999999998
22,1247,415,60.17,22.909999999999997,0.6017,0.22909999999999997
23,1192,430,57.42,22.159999999999997,0.5742,0.22159999999999996
24,1135,447,54.57,21.309999999999995,0.5457,0.21309999999999996
25,1072,465,51.42,20.409999999999997,0.5142,0.20409999999999998
26,1007,485,48.17,19.409999999999997,0.4817,0.19409999999999997
27,939,506,44.77,18.359999999999996,0.44770000000000004,0.18359999999999996
28,868,528,41.220000000000006,17.259999999999994,0.41220000000000007,0.17259999999999995
29,794,551,37.52,16.109999999999996,0.37520000000000003,0.16109999999999997
30,715,575,33.57,14.909999999999997,0.3357,0.14909999999999995
31,634,600,29.520000000000003,13.659999999999997,0.2952,0.13659999999999997
32,548,626,25.220000000000002,12.359999999999996,0.25220000000000004,0.12359999999999996
33,461,654,20.87,10.959999999999994,0.2087,0.10959999999999993
34,367,682,16.17,9.559999999999995,0.1617,0.09559999999999995
35,271,712,11.370000000000001,8.059999999999995,0.11370000000000001,0.08059999999999995
36,169,742,6.270000000000001,6.559999999999995,0.06270000000000002,0.06559999999999995
37,68,773,1.2200000000000002,5.009999999999991,0.012200000000000003,0.05009999999999991
