label,eccentricity,r,g
01,0.3791940924275824,0.4,0.5
02,0.2993583211695256,0.4444444444444444,0.5
03,0.20809048000260436,0.45454545454545453,0.5
04,0.2993583211695256,0.4444444444444444,0.5
05,0.3529931921891122,0.375,0.42857142857142855
06,0.24479838661826847,0.35294117647058826,0.5
07,0.4053434458223084,0.375,0.6
08,0.3901934356744226,0.32500000079162417,0.3624999972293154
09,0.28121341785545695,0.36363636363636365,0.5
10,0.4739208619376009,0.36121672501147434,0.5826446348713152
11,0.2759852325543209,0.42857142857142855,0.4444444444444444
12,0.108785658644084,0.33469387746661566,0.331972789200051
13,0.2955303683737699,0.4,1.0
14,0.0,0.33238636369769814,0.33806818151150925
15,0.30059510916775684,0.40336134453781514,0.4547677261613692
16,0.0,0.33238636369769814,0.33806818151150925
17,0.39085251668392357,0.3673469408856288,0.42176870607624745
18,0.2811497905580163,0.4,0.5331753529104554
19,0.0,0.4392265198299543,0.335820895310771
20,0.26502973414214365,0.375,0.6
