label,eccentricity,r,g
01,0.9350518814403515,0.5,0.4
02,0.9112044943821498,0.5,0.3812375249500998
03,0.9133096690822808,0.5,0.4056603773584906
04,0.8982724724476411,0.4265486725663717,0.375
05,0.8842449971915716,0.400329489291598,0.37520938023450584
06,0.9242189734477728,0.5,0.4
07,0.9176353162177898,0.5140845070422535,0.4084507042253521
08,0.9037468994502417,0.5,0.4
09,0.8591275483056346,0.5,0.42105263157894735
10,0.9037468994502417,0.5,0.4
11,0.9254087987955153,0.5,0.4444444444444444
12,0.8920114743822732,0.5,0.4
13,0.8158006319555501,0.5,0.36889692799611823
14,0.9228462893617254,0.5260770945749487,0.4
15,0.9251915159764067,0.5,0.4121383382031604
16,0.9249257468371688,0.5452436194895591,0.45161290322580644
17,0.9285159786969264,0.48034934497816595,0.425764192139738
18,0.8982724724476411,0.4265486725663717,0.375
19,0.8969441913108762,0.5555555555555556,0.4
20,0.9367330921259206,0.47780126849894294,0.4117647058823529
