Pixel Graph X,Pixel Graph Y
73,960
107,936
144,958
177,937
218,887
251,836
290,765
327,719
362,670
397,645
431,615
467,589
504,554
541,565
575,535
608,492
646,423
681,370
717,395
754,364
791,343
828,318
869,362
903,339
939,346
974,292
1013,211
1050,208
1088,231
1121,276
1156,293
1191,355
1228,341
1261,322
1300,352
1336,312
1375,282
1410,281
1446,279
1484,269
1522,255
1554,269
1590,281
1628,286
1666,287
1702,268
1737,269
1770,282
1806,246
1843,243
1878,244
1921,244
1957,256
1989,257
2032,270
2062,284
2099,283
2134,280
2174,307
2209,312
2240,323
2279,293
2313,366
2353,406
2385,403
2421,391
2458,382
2496,366
2529,386
2567,404
2602,388
