Note,Duration
G,Quarter
G,Quarter
G,Quarter
D,Quarter
E,Quarter
E,Quarter
D,Half
B,Quarter
B,Quarter
A,Quarter
A,Quarter
G,Half
Rest,Quarter
D,Quarter
G,Quarter
G,Quarter
G,Quarter
D,Quarter
E,Quarter
E,Quarter
D,Half
B,Quarter
B,Quarter
A,Quarter
A,Quarter
G,Half
Rest,Quarter
D,Eight
D,Eight
G,Quarter
G,Quarter
G,Quarter
D,Eight
D,Eight
G,Quarter
G,Quarter
G,Half
G,Eight
G,Eight
G,Quarter
G,Eight
G,Eight
G,Quarter
G,Eight
G,Eight
G,Eight
G,Eight
G,Quarter
G,Quarter
G,Quarter
G,Quarter
G,Quarter
D,Quarter
E,Quarter
E,Quarter
D,Half
B,Quarter
B,Quarter
A,Quarter
A,Quarter
G,Whole
